state,date,income_mean,poverty_absolute,population
Johor,01/01/2022,8517,4.6,4028.3
Kedah,01/01/2022,5550,9,2163.1
Kelantan,01/01/2022,4885,13.2,1830.6
Melaka,01/01/2022,8057,4.2,1008.6
Negeri Sembilan,01/01/2022,6788,4.4,1207.9
Pahang,01/01/2022,5777,6.3,1614.3
Perak,01/01/2022,5779,7.5,2514.4
Perlis,01/01/2022,5664,4,289.8
Pulau Pinang,01/01/2022,8267,2,1740.9
Sabah,01/01/2022,6171,19.7,3414.9
Sarawak,01/01/2022,6457,10.8,2473.5
Selangor,01/01/2022,12233,1.5,7050.3
Terengganu,01/01/2022,7248,6.2,1186.6
Kuala Lumpur,01/01/2022,13325,1.4,1961.2
Labuan,01/01/2022,8250,2.5,96.9
Putrajaya,01/01/2022,13473,0.1,117
